subject,day,session_name,target_label,n_trials,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,n_errors,most_common_response,session_label,session_order
s01,2026-05-28,syllable_top50,가,1,1.0,1.8504502000287173,1.8504502000287173,1.0490502000287174,1.0490502000287174,0,가,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,개,1,1.0,2.996198699926026,2.996198699926026,1.894298699926026,1.894298699926026,0,개,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,것,1,1.0,2.526939300005324,2.526939300005324,1.3249393000053242,1.3249393000053242,0,것,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,경,1,1.0,4.167959299986251,4.167959299986251,2.4138592999862505,2.4138592999862505,0,경,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,계,1,1.0,3.269036200013943,3.269036200013943,1.6153362000139433,1.6153362000139433,0,계,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,고,1,1.0,1.7469922000309452,1.7469922000309452,0.9457922000309452,0.9457922000309452,0,고,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,공,1,1.0,2.3060817000223324,2.3060817000223324,1.1039817000223322,1.1039817000223322,0,공,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,관,1,1.0,4.268722699955106,4.268722699955106,2.5159226999551056,2.5159226999551056,0,관,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,구,1,1.0,3.3833049000240862,3.3833049000240862,2.581504900024086,2.581504900024086,0,구,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,국,1,1.0,2.200205400004052,2.200205400004052,0.9981054000040516,0.9981054000040516,0,국,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,기,1,1.0,1.8305926999310032,1.8305926999310032,1.2800926999310032,1.2800926999310032,0,기,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,나,1,1.0,2.3928749000187963,2.3928749000187963,1.5914749000187962,1.5914749000187962,0,나,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,내,1,1.0,7.154809799976647,7.154809799976647,6.052909799976646,6.052909799976646,0,내,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,대,1,1.0,4.513479799963534,4.513479799963534,3.4115797999635338,3.4115797999635338,0,대,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,도,1,0.0,2.627752500004135,2.627752500004135,1.826552500004135,1.826552500004135,1,소,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,동,1,1.0,2.4034631999675184,2.4034631999675184,1.2013631999675185,1.2013631999675185,0,동,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,등,1,1.0,5.644729900057428,5.644729900057428,4.493329900057427,4.493329900057427,0,등,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,리,1,1.0,4.810850600013509,4.810850600013509,4.06035060001351,4.06035060001351,0,리,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,보,1,1.0,2.7985623000422493,2.7985623000422493,1.997362300042249,1.997362300042249,0,보,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,부,1,1.0,2.3480134999845177,2.3480134999845177,1.5462134999845176,1.5462134999845176,0,부,S9 Syllable Top 50,9
