subject,day,session_name,session_label,trial_index_session,moving_accuracy,moving_rt
s01,2026-05-28,all_consonants,S4 All consonants,1,1.0,1.0419776999624446
s01,2026-05-28,all_consonants,S4 All consonants,2,1.0,1.286596899968572
s01,2026-05-28,all_consonants,S4 All consonants,3,1.0,1.5993089666590095
s01,2026-05-28,all_consonants,S4 All consonants,4,1.0,1.9208878499921411
s01,2026-05-28,all_consonants,S4 All consonants,5,1.0,1.831619879999198
s01,2026-05-28,all_consonants,S4 All consonants,6,1.0,1.7803530666666727
s01,2026-05-28,all_consonants,S4 All consonants,7,1.0,1.7038971142943151
s01,2026-05-28,all_consonants,S4 All consonants,8,1.0,1.62600381251832
s01,2026-05-28,all_consonants,S4 All consonants,9,1.0,1.6087674222395032
s01,2026-05-28,all_consonants,S4 All consonants,10,1.0,1.5655692200060003
s01,2026-05-28,all_consonants,S4 All consonants,11,1.0,1.5553044600063004
s01,2026-05-28,all_consonants,S4 All consonants,12,1.0,1.4992297600023448
s01,2026-05-28,all_consonants,S4 All consonants,13,1.0,1.4185377599904314
s01,2026-05-28,all_consonants,S4 All consonants,14,1.0,1.2989632599870675
s01,2026-05-28,all_consonants,S4 All consonants,15,1.0,1.2823400699766352
s01,2026-05-28,all_consonants,S4 All consonants,16,1.0,1.2863993399776519
s01,2026-05-28,all_consonants,S4 All consonants,17,1.0,1.3524010999710299
s01,2026-05-28,all_consonants,S4 All consonants,18,1.0,1.4130862499587238
s01,2026-05-28,all_consonants,S4 All consonants,19,1.0,1.4080454199574888
s01,2026-05-28,all_consonants,S4 All consonants,20,1.0,1.4291883199592121
s01,2026-05-28,all_consonants,S4 All consonants,21,1.0,1.545483079960104
s01,2026-05-28,all_consonants,S4 All consonants,22,1.0,1.570541599963326
s01,2026-05-28,all_consonants,S4 All consonants,23,1.0,1.6578723599785008
s01,2026-05-28,all_consonants,S4 All consonants,24,1.0,1.5825892299879343
s01,2026-05-28,all_consonants,S4 All consonants,25,1.0,1.5520629800041206
s01,2026-05-28,all_consonants,S4 All consonants,26,1.0,1.5312228200025857
s01,2026-05-28,all_consonants,S4 All consonants,27,1.0,1.497334090003278
s01,2026-05-28,all_consonants,S4 All consonants,28,1.0,1.4756745200022123
s01,2026-05-28,all_consonants,S4 All consonants,29,1.0,1.4953814500011504
s01,2026-05-28,all_consonants,S4 All consonants,30,1.0,1.4543950600083917
s01,2026-05-28,all_consonants,S4 All consonants,31,1.0,1.3923788100131786
s01,2026-05-28,all_consonants,S4 All consonants,32,1.0,1.398947980022058
s01,2026-05-28,all_consonants,S4 All consonants,33,1.0,1.3000446600141005
s01,2026-05-28,all_consonants,S4 All consonants,34,1.0,1.340346360008698
s01,2026-05-28,all_consonants,S4 All consonants,35,1.0,1.345416279998608
s01,2026-05-28,all_consonants,S4 All consonants,36,1.0,1.312872569996398
s01,2026-05-28,all_consonants,S4 All consonants,37,1.0,1.2969689200050198
s01,2026-05-28,all_consonants,S4 All consonants,38,1.0,1.22876561001176
s01,2026-05-28,all_vowels,S8 All vowels,1,1.0,2.150130199966952
s01,2026-05-28,all_vowels,S8 All vowels,2,1.0,2.0671260999515653
s01,2026-05-28,all_vowels,S8 All vowels,3,1.0,1.8193253999731194
s01,2026-05-28,all_vowels,S8 All vowels,4,1.0,1.6429841999779455
s01,2026-05-28,all_vowels,S8 All vowels,5,1.0,1.9389011199818924
s01,2026-05-28,all_vowels,S8 All vowels,6,1.0,1.95142376665414
s01,2026-05-28,all_vowels,S8 All vowels,7,1.0,1.93449377142159
s01,2026-05-28,all_vowels,S8 All vowels,8,1.0,1.8962207625008887
s01,2026-05-28,all_vowels,S8 All vowels,9,1.0,1.9693451111023832
s01,2026-05-28,all_vowels,S8 All vowels,10,1.0,1.9047571999952198
