session_name,session_label,session_order,mean_accuracy,sem_accuracy,mean_rt,sem_rt,mean_trials,sem_trials,n_subject_days,n_subjects
basic_consonants,S1 Basic consonants,1,0.9871794871794872,0.012820512820512813,0.9523581490877951,0.04730684197098271,18.0,4.0,3,1
long_consonants,S2 Long consonants,2,0.9576719576719577,0.021654372412360977,1.2873223652036383,0.15206314458057943,20.0,4.163331998932265,3,1
double_consonants,S3 Double consonants,3,1.0,0.0,1.0919154966754527,0.13482483900271133,10.0,0.0,3,1
all_consonants,S4 All consonants,4,0.9876543209876543,0.012345679012345697,1.2798753197743562,0.08510631149829755,43.333333333333336,5.333333333333334,3,1
basic_vowels,S5 Basic vowels,5,1.0,0.0,1.1344130833393946,0.07500150601060347,12.0,0.0,3,1
double_vowels,S6 Double vowels,6,1.0,0.0,1.3722467233155233,0.0413720554495967,10.0,0.0,3,1
complex_vowels,S7 Complex vowels,7,1.0,0.0,2.23802247500862,0.360155535596652,16.0,0.0,3,1
all_vowels,S8 All vowels,8,0.9776252224764811,0.01569623629194068,1.5648499219401881,0.09497998518003492,61.0,11.67618659209133,3,1
syllable_top50,S9 Syllable Top 50,9,0.96,0.011547005383792526,2.6324982213391923,0.2535394882387596,50.0,0.0,3,1
syllable_top100,S10 Syllable Top 100,10,0.7878787878787878,0.0,2.5887385878824825,0.0,33.0,0.0,1,1
