subject,day,session_name,session_label,session_order,n_trials,n_unique_targets,mean_reps_per_target,response_mode,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,stimulus_duration_mean_sec,completed,failed,session_elapsed_final_sec,day_elapsed_final_sec
s01,2026-05-28,basic_consonants,S1 Basic consonants,1,14,7,2.0,voice_ml,1.0,0.8969997857181754,0.8144796499982476,0.7469997857181754,0.6644796499982476,0.14999999999999997,0,0,,
s01,2026-05-28,long_consonants,S2 Long consonants,2,14,7,2.0,voice_ml,1.0,1.5830321571473698,1.4440382500179112,1.2330321571473697,1.094038250017911,0.35,0,0,,
s01,2026-05-28,double_consonants,S3 Double consonants,3,10,5,2.0,voice_ml,1.0,1.3571907100151293,1.2482738500111736,0.9067707100151292,0.7981738500111737,0.45042,0,0,,
s01,2026-05-28,all_consonants,S4 All consonants,4,38,19,2.0,voice_ml,1.0,1.4258761657861454,1.3977348000044003,1.1231340605229876,1.0707611499819905,0.3027421052631579,0,0,,
s01,2026-05-28,basic_vowels,S5 Basic vowels,5,12,6,2.0,voice_ml,1.0,1.1468105916962184,1.0920723000308499,0.7961439250295514,0.7164223000308498,0.3506666666666667,0,0,,
s01,2026-05-28,double_vowels,S6 Double vowels,6,10,5,2.0,voice_ml,1.0,1.4390913099632598,1.3811249499558471,0.5469913099632597,0.4580443499675952,0.8920999999999999,0,0,,
s01,2026-05-28,complex_vowels,S7 Complex vowels,7,16,8,2.0,voice_ml,1.0,2.950464400011697,2.5287410000455566,2.048339400011697,1.5689225999863816,0.9021250000000001,0,0,,
s01,2026-05-28,all_vowels,S8 All vowels,8,69,19,3.6315789473684212,voice_ml,0.9855072463768116,1.7545083434729283,1.6555988000473008,1.0252895028932183,0.9113866000326348,0.7292188405797102,0,0,,
s01,2026-05-28,syllable_top50,S9 Syllable Top 50,9,50,50,1.0,voice_stt_list,0.96,3.086314029998612,2.795746700023301,2.066630029998612,1.7908629999859258,1.0196840000000003,0,0,,
s01,2026-06-02,basic_consonants,S1 Basic consonants,1,26,7,3.7142857142857144,voice_ml,0.9615384615384616,1.0464858115346243,0.9346713499398902,0.8964858115346244,0.7846713499398902,0.14999999999999997,0,0,,
s01,2026-06-02,long_consonants,S2 Long consonants,2,28,7,4.0,voice_ml,0.9285714285714286,1.2010011106862553,1.064397749840282,0.8510011106862552,0.7143977498402819,0.3499999999999999,0,0,,
s01,2026-06-02,double_consonants,S3 Double consonants,3,10,5,2.0,voice_ml,1.0,1.0011706999735908,0.9181300000054762,0.5507506999735907,0.46758000000547617,0.45042,0,0,,
s01,2026-06-02,all_consonants,S4 All consonants,4,54,19,2.8421052631578947,voice_ml,0.9629629629629629,1.282651327757372,1.11909769999329,0.9751272536832977,0.8461325499461964,0.3075240740740741,0,0,,
s01,2026-06-02,basic_vowels,S5 Basic vowels,5,12,6,2.0,voice_ml,1.0,1.2576763083343394,1.0123325999593362,0.9070096416676727,0.6112325999593362,0.3506666666666667,0,0,,
s01,2026-06-02,double_vowels,S6 Double vowels,6,10,5,2.0,voice_ml,1.0,1.3810593899572268,1.3337219000095502,0.48895938995722676,0.4019164999430999,0.8920999999999999,0,0,,
s01,2026-06-02,complex_vowels,S7 Complex vowels,7,16,8,2.0,voice_ml,1.0,1.9737575187609764,2.041312800021842,1.0716325187609763,0.9070734499627724,0.9021250000000001,0,0,,
s01,2026-06-02,all_vowels,S8 All vowels,8,76,19,4.0,voice_ml,0.9473684210526315,1.4792865144677068,1.5039103500312194,0.7539444092045489,0.7492873999007046,0.725342105263158,0,0,,
s01,2026-06-02,syllable_top50,S9 Syllable Top 50,9,50,50,1.0,voice_stt_list,0.94,2.6015117940027266,2.2144223500508815,1.5902056140042393,1.3332559999937192,1.0196839999999998,0,0,,
s01,2026-06-02,syllable_top100,S10 Syllable Top 100,10,33,33,1.0,voice_stt_list,0.7878787878787878,2.5887385878824825,2.404389299917966,1.455517963642164,1.321201800014451,1.1444151515151513,0,0,,
s01,2026-06-04,basic_consonants,S1 Basic consonants,1,14,7,2.0,voice_ml,1.0,0.9135888500105855,0.7921885499963537,0.7635888500105855,0.6421885499963537,0.14999999999999997,0,0,,
s01,2026-06-04,long_consonants,S2 Long consonants,2,18,7,2.5714285714285716,voice_ml,0.9444444444444444,1.0779338277772896,0.9572423999197781,0.7279338277772897,0.6072423999197781,0.3499999999999999,0,0,,
s01,2026-06-04,double_consonants,S3 Double consonants,3,10,5,2.0,voice_ml,1.0,0.9173850800376385,0.9300042999675497,0.4669650800376385,0.47950429996754973,0.45042,0,0,,
s01,2026-06-04,all_consonants,S4 All consonants,4,38,19,2.0,voice_ml,1.0,1.131098465779551,1.0200803999323398,0.8283563605163934,0.7166536001048982,0.3027421052631579,0,0,,
s01,2026-06-04,basic_vowels,S5 Basic vowels,5,12,6,2.0,voice_ml,1.0,0.9987523499876261,0.9215086499461904,0.6480856833209594,0.5323865499356761,0.3506666666666667,0,0,,
s01,2026-06-04,double_vowels,S6 Double vowels,6,10,5,2.0,voice_ml,1.0,1.2965894700260834,1.2482091500423849,0.40448947002608326,0.307243600007519,0.8920999999999999,0,0,,
s01,2026-06-04,complex_vowels,S7 Complex vowels,7,16,8,2.0,voice_ml,1.0,1.7898455062531866,1.7442606999538839,0.8877205062531865,0.8911336000587791,0.9021250000000001,0,0,,
s01,2026-06-04,all_vowels,S8 All vowels,8,38,19,2.0,voice_ml,1.0,1.4607549078799293,1.4737877498846501,0.7354128026167714,0.7144143499443307,0.7253421052631579,0,0,,
s01,2026-06-04,syllable_top50,S9 Syllable Top 50,9,50,50,1.0,voice_stt_list,0.98,2.2096688400162385,2.1557611498283222,1.1899848400162383,1.0920425499277189,1.019684,0,0,,
