correct_symbol,exposure_index,accuracy,n_trials,rt_mean_correct
기역,1.0,0.3333333333333333,6,1.3736724499613047
기역,2.0,0.3333333333333333,6,1.041932599968277
기역,3.0,0.8333333333333334,6,1.7412258800584823
기역,4.0,1.0,6,2.1418011833836013
기역,5.0,1.0,4,2.6098924999241717
기역,6.0,1.0,3,1.586649000023802
기역,7.0,1.0,2,1.0866832500323653
기역,8.0,1.0,1,1.3537419000640512
니은,1.0,0.16666666666666666,6,1.1441193998325616
니은,2.0,0.5,6,2.3168997000126788
니은,3.0,0.5,6,0.9587040333232532
니은,4.0,1.0,6,1.476741133374162
니은,5.0,1.0,5,2.2629455800168214
니은,6.0,0.6666666666666666,3,1.2957949000410736
니은,7.0,1.0,2,1.0603872500360012
니은,8.0,1.0,1,1.1456115001346916
니은,9.0,1.0,1,0.7865361000876874
디귿,1.0,0.3333333333333333,6,1.252650300040841
디귿,2.0,0.5,6,1.0985985666047782
디귿,3.0,0.6666666666666666,6,1.1831633500405587
디귿,4.0,0.8,5,1.8139061000547372
디귿,5.0,1.0,5,1.5544766400009393
디귿,6.0,1.0,3,1.317383399931714
디귿,7.0,1.0,1,1.659225800074637
디귿,8.0,1.0,1,1.8064808000344783
디귿,9.0,1.0,1,1.7451522999908775
리을,1.0,0.3333333333333333,6,2.4668101499555632
리을,2.0,0.5,6,1.6561761000193655
리을,3.0,0.8333333333333334,6,2.251149900024757
리을,4.0,0.6666666666666666,6,1.9952866500243545
리을,5.0,0.8,5,1.4013756499625742
리을,6.0,0.6666666666666666,3,1.4182852000230923
리을,7.0,1.0,2,1.0423047499498352
리을,8.0,1.0,1,1.1144690001383424
미음,1.0,0.0,6,
미음,2.0,0.5,6,2.759470233305668
미음,3.0,0.3333333333333333,6,1.8822670000372455
미음,4.0,0.8333333333333334,6,1.2123966999351978
미음,5.0,1.0,5,2.5329278400167823
미음,6.0,0.6666666666666666,3,2.0624746999237686
미음,7.0,1.0,2,1.7482859001029283
미음,8.0,1.0,1,3.007740099914372
비읍,1.0,0.0,6,
비읍,2.0,0.5,6,2.548380633428072
비읍,3.0,0.8333333333333334,6,1.7056126399897038
비읍,4.0,0.8333333333333334,6,1.54316723998636
비읍,5.0,1.0,5,2.222026040079072
비읍,6.0,1.0,3,1.8168872667010874
비읍,7.0,1.0,2,2.7064802000531927
비읍,8.0,1.0,1,1.239572599995881
시옷,1.0,0.3333333333333333,6,1.807459349976853
시옷,2.0,0.5,6,1.7066189999847363
시옷,3.0,0.5,6,1.5664707999676466
시옷,4.0,0.5,6,1.3147717999915283
시옷,5.0,1.0,5,1.9876652400009334
시옷,6.0,1.0,3,2.4379772667307407
시옷,7.0,1.0,1,1.0876619000919163
시옷,8.0,1.0,1,1.08724240004085
이응,1.0,0.3333333333333333,6,2.3455628500087187
이응,2.0,0.6666666666666666,6,2.1747434500139207
이응,3.0,0.6666666666666666,6,1.8528164000017568
이응,4.0,0.8333333333333334,6,1.3384592399932445
이응,5.0,1.0,5,2.1471615799702706
이응,6.0,1.0,3,2.2189608332701027
이응,7.0,1.0,2,1.40453585004434
이응,8.0,1.0,1,1.0842611999250948
이응,9.0,1.0,1,1.5976658998988569
지읒,1.0,0.16666666666666666,6,1.5076706998515874
지읒,2.0,0.6666666666666666,6,1.5295704750460573
지읒,3.0,0.5,6,1.1988056000942986
지읒,4.0,0.8333333333333334,6,2.1116865799762308
지읒,5.0,0.8333333333333334,6,1.9280300000216812
지읒,6.0,1.0,3,1.8171137667571504
지읒,7.0,0.5,2,0.938651599921286
지읒,8.0,1.0,1,1.89836289989762
