subject_id,session_id,condition_name,condition_type,position,position_label,item_criterion_window,item_criterion_correct,learned,exposures_to_learn,n_exposures,elapsed_sec_to_learn,final_item_accuracy,effective_exposures_to_learn
1,20260602_183742,C1_PhoneLike,High-schema,1,P1 wrist-left,3,3,1,3.0,4,62.11369276046753,1.0,3.0
1,20260602_183742,C1_PhoneLike,High-schema,2,P2 wrist-center,3,3,1,3.0,4,62.49126625061035,1.0,3.0
1,20260602_183742,C1_PhoneLike,High-schema,3,P3 wrist-right,3,3,1,3.0,3,81.93886184692383,1.0,3.0
1,20260602_183742,C1_PhoneLike,High-schema,4,P4 mid-left,3,3,1,5.0,5,128.28741765022278,0.8,5.0
1,20260602_183742,C1_PhoneLike,High-schema,5,P5 mid-center,3,3,1,4.0,4,111.31286239624023,0.75,4.0
1,20260602_183742,C1_PhoneLike,High-schema,6,P6 mid-right,3,3,1,4.0,4,143.9831941127777,0.75,4.0
1,20260602_183742,C1_PhoneLike,High-schema,7,P7 elbow-left,3,3,0,,4,,0.75,5.0
1,20260602_183742,C1_PhoneLike,High-schema,8,P8 elbow-center,3,3,0,,4,,0.75,5.0
1,20260602_183742,C1_PhoneLike,High-schema,9,P9 elbow-right,3,3,1,3.0,5,92.70919489860535,1.0,3.0
1,20260602_183742,C2_KeyboardLike,High-schema,1,P1 wrist-left,3,3,1,4.0,5,111.05665636062622,0.8,4.0
1,20260602_183742,C2_KeyboardLike,High-schema,2,P2 wrist-center,3,3,1,3.0,5,100.48879027366638,1.0,3.0
1,20260602_183742,C2_KeyboardLike,High-schema,3,P3 wrist-right,3,3,1,5.0,5,146.44395351409912,0.6,5.0
1,20260602_183742,C2_KeyboardLike,High-schema,4,P4 mid-left,3,3,1,3.0,5,60.93331170082092,1.0,3.0
1,20260602_183742,C2_KeyboardLike,High-schema,5,P5 mid-center,3,3,0,,5,,0.6,6.0
1,20260602_183742,C2_KeyboardLike,High-schema,6,P6 mid-right,3,3,0,,5,,0.6,6.0
1,20260602_183742,C2_KeyboardLike,High-schema,7,P7 elbow-left,3,3,1,5.0,5,152.33408069610596,0.6,5.0
1,20260602_183742,C2_KeyboardLike,High-schema,8,P8 elbow-center,3,3,1,4.0,5,120.14951801300049,0.8,4.0
1,20260602_183742,C2_KeyboardLike,High-schema,9,P9 elbow-right,3,3,1,5.0,5,177.40414810180664,0.6,5.0
1,20260602_183742,C3_MediumA,Medium-order,1,P1 wrist-left,3,3,1,4.0,5,139.68112921714783,0.8,4.0
1,20260602_183742,C3_MediumA,Medium-order,2,P2 wrist-center,3,3,1,4.0,5,132.83405423164368,0.8,4.0
1,20260602_183742,C3_MediumA,Medium-order,3,P3 wrist-right,3,3,1,4.0,5,147.42036080360413,0.8,4.0
1,20260602_183742,C3_MediumA,Medium-order,4,P4 mid-left,3,3,0,,4,,0.5,5.0
1,20260602_183742,C3_MediumA,Medium-order,5,P5 mid-center,3,3,1,4.0,5,128.2346305847168,0.8,4.0
1,20260602_183742,C3_MediumA,Medium-order,6,P6 mid-right,3,3,1,4.0,4,142.71755194664001,0.75,4.0
1,20260602_183742,C3_MediumA,Medium-order,7,P7 elbow-left,3,3,0,,5,,0.4,6.0
1,20260602_183742,C3_MediumA,Medium-order,8,P8 elbow-center,3,3,0,,5,,0.6,6.0
1,20260602_183742,C3_MediumA,Medium-order,9,P9 elbow-right,3,3,1,4.0,5,128.9198648929596,0.8,4.0
1,20260602_183742,C4_MediumB,Medium-order,1,P1 wrist-left,3,3,1,5.0,6,178.74118733406067,0.8333333333333334,5.0
1,20260602_183742,C4_MediumB,Medium-order,2,P2 wrist-center,3,3,1,6.0,6,238.21294856071472,0.6666666666666666,6.0
1,20260602_183742,C4_MediumB,Medium-order,3,P3 wrist-right,3,3,1,6.0,6,216.93802571296692,0.5,6.0
1,20260602_183742,C4_MediumB,Medium-order,4,P4 mid-left,3,3,1,6.0,6,239.6260302066803,0.5,6.0
1,20260602_183742,C4_MediumB,Medium-order,5,P5 mid-center,3,3,1,3.0,6,101.34476733207703,1.0,3.0
1,20260602_183742,C4_MediumB,Medium-order,6,P6 mid-right,3,3,1,6.0,6,191.56443762779236,0.6666666666666666,6.0
1,20260602_183742,C4_MediumB,Medium-order,7,P7 elbow-left,3,3,1,5.0,6,144.19428992271423,0.6666666666666666,5.0
1,20260602_183742,C4_MediumB,Medium-order,8,P8 elbow-center,3,3,0,,6,,0.5,7.0
1,20260602_183742,C4_MediumB,Medium-order,9,P9 elbow-right,3,3,0,,6,,0.6666666666666666,7.0
1,20260602_183742,C5_LowA,Low-order,1,P1 wrist-left,3,3,1,7.0,7,238.3913881778717,0.5714285714285714,7.0
1,20260602_183742,C5_LowA,Low-order,2,P2 wrist-center,3,3,1,7.0,7,248.8799216747284,0.7142857142857143,7.0
1,20260602_183742,C5_LowA,Low-order,3,P3 wrist-right,3,3,1,5.0,7,138.61243796348572,0.7142857142857143,5.0
1,20260602_183742,C5_LowA,Low-order,4,P4 mid-left,3,3,0,,6,,0.3333333333333333,7.0
1,20260602_183742,C5_LowA,Low-order,5,P5 mid-center,3,3,0,,6,,0.3333333333333333,7.0
1,20260602_183742,C5_LowA,Low-order,6,P6 mid-right,3,3,0,,7,,0.42857142857142855,8.0
1,20260602_183742,C5_LowA,Low-order,7,P7 elbow-left,3,3,1,5.0,7,178.9470341205597,0.7142857142857143,5.0
1,20260602_183742,C5_LowA,Low-order,8,P8 elbow-center,3,3,1,6.0,7,215.24213671684265,0.7142857142857143,6.0
1,20260602_183742,C5_LowA,Low-order,9,P9 elbow-right,3,3,1,5.0,7,179.77557277679443,0.7142857142857143,5.0
1,20260602_183742,C6_LowB,Low-order,1,P1 wrist-left,3,3,1,5.0,8,189.23311972618103,0.75,5.0
1,20260602_183742,C6_LowB,Low-order,2,P2 wrist-center,3,3,1,4.0,9,154.49390506744385,0.8888888888888888,4.0
1,20260602_183742,C6_LowB,Low-order,3,P3 wrist-right,3,3,0,,8,,0.375,9.0
1,20260602_183742,C6_LowB,Low-order,4,P4 mid-left,3,3,0,,8,,0.25,9.0
1,20260602_183742,C6_LowB,Low-order,5,P5 mid-center,3,3,1,5.0,9,188.38375186920166,0.7777777777777778,5.0
1,20260602_183742,C6_LowB,Low-order,6,P6 mid-right,3,3,1,6.0,8,228.18409967422485,0.625,6.0
1,20260602_183742,C6_LowB,Low-order,7,P7 elbow-left,3,3,1,6.0,9,256.73719811439514,0.6666666666666666,6.0
1,20260602_183742,C6_LowB,Low-order,8,P8 elbow-center,3,3,1,7.0,8,287.3212285041809,0.5,7.0
1,20260602_183742,C6_LowB,Low-order,9,P9 elbow-right,3,3,0,,8,,0.375,9.0
