phase,position,position_label,rt_mean,rt_median_mean,rt_sem,n_subjects,n_subject_phase_position,n_correct_rt_total
learning,1,P1 wrist-left,2.0427241815185107,1.6889520999975502,,1,1,27
learning,2,P2 wrist-center,1.4439150799997151,1.252926699933596,,1,1,30
learning,3,P3 wrist-right,1.5417252428652275,1.1144690001383424,,1,1,21
learning,4,P4 mid-left,2.4653432111307563,1.987156399874948,,1,1,18
learning,5,P5 mid-center,1.646301219984889,1.4167158000636846,,1,1,25
learning,6,P6 mid-right,1.924316914319726,1.598627100000158,,1,1,21
learning,7,P7 elbow-left,1.5693453695706052,1.477972500026226,,1,1,23
learning,8,P8 elbow-center,1.8234616863668303,1.46223115012981,,1,1,22
learning,9,P9 elbow-right,1.7000488208238191,1.4484661999158561,,1,1,24
retention,1,P1 wrist-left,1.4619656000092316,1.2066620000405237,,1,1,12
retention,2,P2 wrist-center,1.4652005666866899,0.9555565500631928,,1,1,12
retention,3,P3 wrist-right,1.2145388916833326,1.089109000051394,,1,1,12
retention,4,P4 mid-left,1.7666696916567162,1.5944781000725925,,1,1,12
retention,5,P5 mid-center,1.8893936833677192,1.3719610999105498,,1,1,12
retention,6,P6 mid-right,1.8120314750121906,1.4440985000692308,,1,1,12
retention,7,P7 elbow-left,1.6160742416977882,1.2075577499344945,,1,1,12
retention,8,P8 elbow-center,1.7745780666979651,1.5520414500497282,,1,1,12
retention,9,P9 elbow-right,1.6918830249730188,1.3873036499135196,,1,1,12
