phase,subject_id,position,position_label,rt_mean,rt_median,n_correct_rt
learning,1,1,P1 wrist-left,2.0427241815185107,1.6889520999975502,27
learning,1,2,P2 wrist-center,1.4439150799997151,1.252926699933596,30
learning,1,3,P3 wrist-right,1.5417252428652275,1.1144690001383424,21
learning,1,4,P4 mid-left,2.4653432111307563,1.987156399874948,18
learning,1,5,P5 mid-center,1.646301219984889,1.4167158000636846,25
learning,1,6,P6 mid-right,1.924316914319726,1.598627100000158,21
learning,1,7,P7 elbow-left,1.5693453695706052,1.477972500026226,23
learning,1,8,P8 elbow-center,1.8234616863668303,1.46223115012981,22
learning,1,9,P9 elbow-right,1.7000488208238191,1.4484661999158561,24
retention,1,1,P1 wrist-left,1.4619656000092316,1.2066620000405237,12
retention,1,2,P2 wrist-center,1.4652005666866899,0.9555565500631928,12
retention,1,3,P3 wrist-right,1.2145388916833326,1.089109000051394,12
retention,1,4,P4 mid-left,1.7666696916567162,1.5944781000725925,12
retention,1,5,P5 mid-center,1.8893936833677192,1.3719610999105498,12
retention,1,6,P6 mid-right,1.8120314750121906,1.4440985000692308,12
retention,1,7,P7 elbow-left,1.6160742416977882,1.2075577499344945,12
retention,1,8,P8 elbow-center,1.7745780666979651,1.5520414500497282,12
retention,1,9,P9 elbow-right,1.6918830249730188,1.3873036499135196,12
